WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
Atupatdeniya,Arambagama,Jamburegoda,Arukmulla,Vattalaikodichchenai,Myliddy,Rada Hilogama,Vedenigama, Bakinipitiya
Atupotdeniya,Arambepola,Jamburutugoda,Aruppala,Vavunatheevu,Manadkaadu,Rada Paliyagama,Veheragoda, Bakmilande
Atupothdeniya,Aranpitiya,Jandura,Asamanakanda,Vayiriuttu,Madduvil,Rada Talanpola,Vendarankulama, Bala-at-tare
Atura,Arattana,Jansagama,Asgangula,Vedakudiyiruppu,Manthuvil,Radadena,Verumkulama, Bala-attara
Ature,Arawwawala,Jomahandigoda,Asideniya,Vedativu,Mandaan Minukkan,Ridigama,Viharagawagala, Baladangolla
Athurugiriya,Arukwatta,Jorseygoda,Asmadala,Veddukkadduveli,Nallur,Saidalapitiya,Vihare Hammillewa, Balagala
Atweltota,Aruppola,Jorsigoda,Assedduma,Veechukalmunai,Nanaddan,Saldalpitiya,Vitaranagama, Balagalla
Avariwatta,Asgeriya,Julampitiya,Asseddungoda,Veeradiya,Nedunkeni,Samaderapitiyal,Wadigawewa, Balagolla
Avissawella,Asgiriya,Julamulla,Asseddunwela,Veeramunai,Nagar Kovil,Samagigama,Wadiwewa, Balaharuwa
Awariwatta,Aswalapitiya,Kabaragaha Ela,Atakalanpanne,Vellaimanal,Nelliyady,Samagiriyawewa,Waduressagama, Balana
Badahalagoda,Asweddunwela,Kabaragala,Atalawa,Vellaiyadimadu,Nilavarai,Tabbomulla,Waga Konwewa, Balanegama
Badalgama,Atabage,Kabaragomaditta,Atale,Vellamachchenai,?addankandal,Tabbowa,Wagayakulama, Balewela
Badalgoda,Atabage Pallegama,Kabarayamulla,Atallawela,Vellaveli,Nelliady,Tailagama,, Ballakatuwa
Badanagoda,Atirahapitiya,Kadaweddawa,Ataudakanda,Veppadithurai,Oddusuddan,Talagalla,, Bambaragahaulpota
Badugama,Attanakumbura,Kadawedduwa,Athalawa,Veppankuda,Omanthai,Talagaswewa,, Bambaragama
Badureliya,Attanayakagammedda,Kadduwa,Attanagoda,Veranativu,Olumadu,Uda Horombuwa,, Bambaragasyaya
Baduwatugoda,Attaragalla,Kadedduwa,Attapitiya,Verukal,Paapamkulam,Uda Inguruwatta,, Bandarawadiya
Bajjangoda,Attaragama Hunnana-oya,Kadigamuwa,Atugoda,Vettimakkalkudiyiruppu,Pachilaipalli,Uda Kahahena,, Bandarawatta
Balabowa,Awulbodale,Kadihingala,Atulugama,"Vinayagapuram, Sri Lanka",Padaraveli,Uda Siyambalewa,, Bandarawela
Balagalla,Badalagama,Kadiragoda,Aturaliya,Vilavedduvan,Pandatharippu,Uda Tammannewa,, Barawaya
Battaramulla,Badalgammedda,Kalahe,Aturupana,Viliraiyadippuval,Pandarikulam Pandiyankulam,Vairankattuwa,, Batagammana
Beruwala,Baddamulla,Labuduwa,Ayagama,Verugal Malai,Palali,Vannativillu,, Baththewa
