WesternProvince,CentralProvince,SouthernProvince,SabaragamuwaProvince,EasternProvince,NothernProvince,NothernWesternProvince,NorthCentralProvince,UvaProvince
,Rawanagoda,,,,,,,
,Rekatwala,,,,,,,
,Rekitipe,,,,,,,
,Retiyagama,,,,,,,
,Ridiella,,,,,,,
,Rikillagaskada,,,,,,,
,Rilamulla,,,,,,,
,Rogersongama,,,,,,,
,Rottipehilla,,,,,,,
,Rozella,,,,,,,
,Rupaha,,,,,,,
,Rusigama,,,,,,,
,Samarakonehena,,,,,,,
,Sangilipalam,,,,,,,
,Sangilipalama,,,,,,,
,Selagama,,,,,,,
,Selagama Colony,,,,,,,
,Serudandapola,,,,,,,
,Serugolla,,,,,,,
,Singhapitiya,,,,,,,
,Sinhapitiya,,,,,,,
,Sirangahawatta,,,,,,,
,Sirimalwatta,,,,,,,
,Sita Eliya,,,,,,,
,Sivurupitiya,,,,,,,
,Siyambalagahawela,,,,,,,
,Siyambalagastenna,,,,,,,
,Siyambalagoda,,,,,,,
,Siyambalapitiya,,,,,,,
,Siyambalawewa,,,,,,,
,Suduhakurugama,,,,,,,
,Suriyagoda,,,,,,,
,Tahalpitiya,,,,,,,
,Talagasyaya,,,,,,,
,Talagoda,,,,,,,
,Talagune,,,,,,,
,Talakiriyagama,,,,,,,
,Talakiriyawa,,,,,,,
,Talakolawela,,,,,,,
,Talapelellagoda,,,,,,,
,Talatuoya,,,,,,,
,Talawakele,,,,,,,
,Talawatta,,,,,,,
,Talawatura,,,,,,,
,Talgahagoda,,,,,,,
,Talwatta,,,,,,,
,Tammitiya,,,,,,,
,Taralanda,,,,,,,
,Tawalantenna,,,,,,,
,Telambugahawatta,,,,,,,
,Teldeniya,,,,,,,
,Telihigala,,,,,,,
,Telihunna,,,,,,,
,Tembiligala Pallegama,,,,,,,
,Tembiligala Udagama,,,,,,,
,Tenna,,,,,,,
,Tennehena,,,,,,,
,Tennehenwala,,,,,,,
,Tennekumbura,,,,,,,
,Tepugolla,,,,,,,
,Teripaha,,,,,,,
,Teripehagama,,,,,,,
,Thine Kanuwa,,,,,,,
,Thinniyagala,,,,,,,
,Thumbara,,,,,,,
,Tibbotugoda,,,,,,,
,Tibbotuwawa,,,,,,,
,Tientsin,,,,,,,
,Tillicoultry,,,,,,,
,Tinipitigama,,,,,,,
,Tiniyagala,,,,,,,
,Tirappuwa,,,,,,,
,Tismada,,,,,,,
,Tismoda,,,,,,,
,Tispane,,,,,,,
,Tittapajjala,,,,,,,
,Tiyambara-ambe,,,,,,,
,Torapitiya,,,,,,,
,Tumpelawaka,,,,,,,
,Tumpelawake,,,,,,,
,Tundeniya,,,,,,,
,Tunhitiyawa,,,,,,,
,Tunoathliyadda,,,,,,,
,Uda Aludeniya,,,,,,,
,Uda Aramba,,,,,,,
,Udadumbara,,,,,,,
,Uda Galadebokke,,,,,,,
,Uda Hapuwida,,,,,,,
,Uda Henepola,,,,,,,
,Uda Iluka,,,,,,,
,Uda Madapota,,,,,,,
,Uda Mailapitiya,,,,,,,
,Uda Makuruppe,,,,,,,
,Uda Pussellawa,,,,,,,
,Uda Pussellawa Estate,,,,,,,
,Uda Talawinna,,,,,,,
,Uda Talawinna Megodagammedda,,,,,,,
,Uda Talawinnamadige,,,,,,,
,Uda Weragama,,,,,,,
,Udabowala,,,,,,,
,Udagaladebokka,,,,,,,
,Udagalauda,,,,,,,
,Udagama,,,,,,,
,Udagama Pallegama,,,,,,,
,Udagammedda,,,,,,,
,"Udahaduwa, Udahentenna",,,,,,,
,Udakottamulla,,,,,,,
,Udakumbura,,,,,,,
,Udalugama,,,,,,,
,Udalugaputenna,,,,,,,
,Udalumada,,,,,,,
,Udamadura,,,,,,,
,Udamaluwa,,,,,,,
,Udamulla,,,,,,,
,Udangomuwa,,,,,,,
,Udapadiyapelella,,,,,,,
,Udapitawela,,,,,,,
,Udatenna,,,,,,,
,Udattawa,,,,,,,
,Udawatta,,,,,,,
,Udawela,,,,,,,
,Udispattuwa,,,,,,,
,Udowita,,,,,,,
,Udu Nuwara and Yatinuwara,,,,,,,
,Ududaha,,,,,,,
,Ududeniya,,,,,,,
,Ududeniya Madige,,,,,,,
,Ududeniya Sinhalagama,,,,,,,
,Udugalpitiye Kuppayama,,,,,,,
,Udugama,,,,,,,
,Udugoda,,,,,,,
,Udumulla,,,,,,,
,Udupihilla,,,,,,,
,Udurawana,,,,,,,
,Udurawana Megodagammedda,,,,,,,
,Uduwa,,,,,,,
,Uduwawala,,,,,,,
,Uduwela Pallegama,,,,,,,
,Uduwela Udagama,,,,,,,
,Uduwella,,,,,,,
,Uduwelwala,,,,,,,
,Uduwerella,,,,,,,
,Uggahakumbura,,,,,,,
,Uguresapitiya,,,,,,,
,Uguressapitiya,,,,,,,
,Ukutule,,,,,,,
,Ukuwala,,,,,,,
,Ukuwela,,,,,,,
,Ulakkonde,,,,,,,
,Ulandupitiya,,,,,,,
,Ulapane,,,,,,,
,Ullandupitiya,,,,,,,
,Ullekumbura,,,,,,,
,Ulpotagama,,,,,,,
,Ulpotagama Iluka,,,,,,,
,Ulpotapitiya,,,,,,,
,Unagolla,,,,,,,
,Unambuwa,,,,,,,
,Unantenna Pallegammedda,,,,,,,
,Unantenna Pallegammedde,,,,,,,
,Unapandureyaya,,,,,,,
,Unaweruwa,,,,,,,
,Upcot,,,,,,,
,Uradeniya,,,,,,,
,Urapola,,,,,,,
,Urawala,,,,,,,
,Urawela,,,,,,,
,Urugala,,,,,,,
,Urugalakadawidiya,,,,,,,
,Uruherapola,,,,,,,
,Urulemulla,,,,,,,
,Urulewatta,,,,,,,
,Ussettawa,,,,,,,
,Vetastenna,,,,,,,
,Viguhumpola,,,,,,,
,Vilana Pallegama,,,,,,,
,"Vilana Udagama,",,,,,,,
,Wadagolla,,,,,,,
,Wadakahamada,,,,,,,
,Wadawala,,,,,,,
,Wadawalakanda,,,,,,,
,Wademada,,,,,,,
,Wadiya,,,,,,,
,Wadiyagoda,,,,,,,
,Wahacotte,,,,,,,
,Waharakgoda,,,,,,,
,Wahugepitiya,,,,,,,
,Wahunkoho,,,,,,,
,Wahunkoha,,,,,,,
,Wahupitiya,,,,,,,
,Waikkal,,,,,,,
,Walagama,,,,,,,
,Walagedara,,,,,,,
,Walakumbura,,,,,,,
,Walakumbura,,,,,,,
,Walala,,,,,,,
,Walala,,,,,,,
,Megodagammedda,,,,,,,
,Walalawela,,,,,,,
,Walaswewa,,,,,,,
,Walatalawa,,,,,,,
,Walawela,,,,,,,
,Waldeniya,,,,,,,
,Walgama,,,,,,,
,Walgampaya,,,,,,,
,Walgovuwagoda,,,,,,,
,Walgowagoda,,,,,,,
,Wallahagoda,,,,,,,
,Walliwela,,,,,,,
,Walmoruwa,,,,,,,
,Walpola,,,,,,,
,Walpoladeniya,,,,,,,
,Walpolamulla,,,,,,,
,Walugama,,,,,,,
,Wanduramulla,,,,,,,
,Wannipola,,,,,,,
,Waradiwala,,,,,,,
,Waragashinna,,,,,,,
,Warakadeniya,,,,,,,
,Warakagoda,,,,,,,
,Warakalawita,,,,,,,
,Warakamure,,,,,,,
,Warakawa,,,,,,,
,Waralaggama,,,,,,,
,Warapitiya,,,,,,,
,Wariyapola,,,,,,,
,Wataddora,,,,,,,
,Watadeniya,,,,,,,
,Watagoda,,,,,,,
,Watapana,,,,,,,
,Watapuluwa,,,,,,,
,Watawala,,,,,,,
,Wathumulla,,,,,,,
,Wattahena,,,,,,,
,Wattappola,,,,,,,
,Wattegama,,,,,,,
,Wattegammedda,,,,,,,
,Wattegedara,,,,,,,
,Wattehena,,,,,,,
,Watuliyadda,,,,,,,
,Watumulla,,,,,,,
,Watupola,,,,,,,
,Waturakumbura,,,,,,,
,Watuwala,,,,,,,
,Wavinna,,,,,,,
,Wawinna,,,,,,,
,Wayikkal,,,,,,,
,Wedagolla,,,,,,,
,Wedigammedda,,,,,,,
,Wegala,,,,,,,
,Wegama,,,,,,,
,Wegama Lower,,,,,,,
,Wegiriya,,,,,,,
,Wegodapola,,,,,,,
,Wehera,,,,,,,
,Wehigala East,,,,,,,
,Wekanda,,,,,,,
,Wekumbura,,,,,,,
,Welagama,,,,,,,
,Welaihala Udugoda,,,,,,,
,Welamboda,,,,,,,
,Welampe,,,,,,,
,Welandagoda,,,,,,,
,Welangahawatt,,,,,,,
,Welapahala,,,,,,,
,Welata,,,,,,,
,Welegedara,,,,,,,
,Welemulla,,,,,,,
,Welgahawadiya,,,,,,,
,Weligalla,,,,,,,
,Weliganwala,,,,,,,
,Weligodapola,,,,,,,
,Weliketiya,,,,,,,
,Welivitta,,,,,,,
,Weliwaranagolla,,,,,,,
,Weliwita,,,,,,,
,Weliwita Ihalagama,,,,,,,
,Weliwita Pahalagama,,,,,,,
,Wellagiriya,,,,,,,
,Wellangolla,,,,,,,
,Wellatota,,,,,,,
,Welletota Kadaweediya,,,,,,,
,Welpanala,,,,,,,
,Wepatana,,,,,,,
,Weragalawatta,,,,,,,
,Weragama,,,,,,,
,Weragamtota,,,,,,,
,Weragantota,,,,,,,
,Werakonkanda,,,,,,,
,Weralanda,,,,,,,
,Weralugastenna,,,,,,,
,Werapitiya,,,,,,,
,Werapitiya Ihalagama,,,,,,,
,Werapitiya Pahalagammedda,,,,,,,
,Werawala,,,,,,,
,Werella,,,,,,,
,Werellagama,,,,,,,
,West Watta,,,,,,,
,Wetagepota,,,,,,,
,Wetakedeniya,,,,,,,
,Wetakepotha,,,,,,,
,Wetalawa,,,,,,,
,Wetasseyaya,,,,,,,
,Weteggama,,,,,,,
,Wettehena,,,,,,,
,Wettewa,,,,,,,
,Wewagammedda,,,,,,,
,Wewakele,,,,,,,
,Wewala,,,,,,,
,Wewatenna,,,,,,,
,Wewelmada,,,,,,,
,Wewelobe,,,,,,,
,Wiguhumpola,,,,,,,
,Wijebahukanda,,,,,,,
,Wilawala,,,,,,,
,Wilgomuwa,,,,,,,
,Wilwala,,,,,,,
,Wiyanamulla,,,,,,,
,Yaggala,,,,,,,
,Yahala,,,,,,,
,Yahalatenne,,,,,,,
,Yahaletenna,,,,,,,
,Yakadagoda,,,,,,,
,Yakgahapitiya,,,,,,,
,Yakkuragala,,,,,,,
,Yalegoda,,,,,,,
,Yalkumbura,,,,,,,
,Yamanmulla,,,,,,,
,Yapagama,,,,,,,
,Yasanampura,,,,,,,
,Yatala,,,,,,,
,Yatapana,,,,,,,
,Yatawara,,,,,,,
,Yatawatta,,,,,,,
,Yatigammana,,,,,,,
,Yatihalagala,,,,,,,
,Yatihalagala Pallegama,,,,,,,
,Yatimadura,,,,,,,
,Yatipiyangala,,,,,,,
,Yatirawana,,,,,,,
,Yatiwawala,,,,,,,
,Yatiwehera,,,,,,,
,Yatiwella,,,,,,,
,Yattakule,,,,,,,
,Yodagannawa,,,,,,,
,Yombuweltenna,,,,,,,
,Yompana,,,,,,,
,Yonpane,,,,,,,
